strongs_number,telugu_word,telugu_meaning,hindi_word,hindi_meaning
H6663,త్సాదక్,నీతిమంతుడు,त्सादक,धर्मी होना
H7225,రేషీత్,ఆరంభము - మొదటిది,रेशीत,आरंभ - प्रथम
H7307,రూాచ్,ఆత్మ - గాలి,रूआख,आत्मा - वायु
H7965,షాలోమ్,శాంతి - సమాధానము,शालोम,शांति - सलामती
H8064,షామయిమ్,ఆకాశము,शामयिम,आकाश
H0935,בּוֹא,వెళ్ళడానికి లేదా రావడానికి (అనేక రకాల అప్లికేషన్లలో),בּוֹא,जाना या आना (विभिन्न प्रकार के अनुप्रयोगों में)
H1980,הָלַך,"ఒక ఆదిమ మూలం; నడవడానికి (అనేక రకాల అప్లికేషన్లలో, అక్షరాలా మరియు అలంకారికంగా)",הָלַך,"एक आदिम जड़; चलना (विभिन्न प्रकार के अनुप्रयोगों में, शाब्दिक और आलंकारिक रूप से)"
H3045,יָדַע,తెలుసుకోవడానికి; (సరిగ్గా) చూడటం ద్వారా నిర్ధారించడానికి,יָדַע,जानने के; (ठीक से) देखकर पता लगाना
H3212,יָלַך,(వాచ్యంగా లేదా అలంకారికంగా) నడవడానికి; (కారణంగా) మోయడానికి (వివిధ భావాలలో),יָלַך,(शाब्दिक या आलंकारिक रूप से) चलना; (कारणात्मक रूप से) ले जाना (विभिन्न अर्थों में)
H3318,יָצָא,బయటకు వెళ్ళడానికి; (కారణంగా) బయటకు తీసుకురావడానికి,יָצָא,बाहर जाना; (कारणात्मक रूप से) बाहर लाना
H5414,נָתַן,"ఇవ్వడానికి, అప్లికేషన్ యొక్క గొప్ప అక్షాంశంతో ఉపయోగించబడుతుంది (పుట్, తయారు, మొదలైనవి)",נָתַן,"देना, अनुप्रयोग के अधिकतम अक्षांश के साथ प्रयोग किया जाता है (डालना, बनाना, आदि)"
H5975,עָמַד,"నిలబడటానికి, వివిధ సంబంధాలలో (అక్షర మరియు అలంకారిక, ఇంట్రాన్సిటివ్ మరియు ట్రాన్సిటివ్)",עָמַד,"विभिन्न संबंधों में (शाब्दिक और आलंकारिक, अकर्मक और सकर्मक) खड़े होना"
H6213,עָשָׂה,విస్తృతమైన అర్థంలో మరియు విస్తృతమైన అప్లికేషన్ (క్రింది విధంగా),עָשָׂה,व्यापक अर्थ और व्यापक अनुप्रयोग में करना या बनाना (इस प्रकार)
H7200,רָאָה,"చూడటానికి, అక్షరాలా లేదా అలంకారికంగా (అనేక అనువర్తనాల్లో, ప్రత్యక్ష మరియు పరోక్ష, ట్రాన్సిటివ్, ఇంట్రాన్సిటివ్ మరియు కాసేటివ్)",רָאָה,"देखने के लिए, शाब्दिक या आलंकारिक रूप से (कई अनुप्रयोगों में, प्रत्यक्ष और निहित, सकर्मक, अकर्मक और कारणात्मक)"
H8085,שָׁמַע,"తెలివిగా వినడానికి (తరచుగా శ్రద్ధ, విధేయత మొదలైన వాటితో; కారణం, చెప్పడం మొదలైనవి)",שָׁמַע,"समझदारी से सुनना (अक्सर ध्यान, आज्ञाकारिता, आदि के निहितार्थ के साथ; कारणात्मक रूप से, बताना, आदि)"
H0376,אִישׁ,ఒక వ్యక్తి లేదా మగ వ్యక్తిగా ఒక వ్యక్తి; తరచుగా మరింత ఖచ్చితమైన పదానికి అనుబంధంగా ఉపయోగించబడుతుంది (మరియు అలాంటి సందర్భాలలో తరచుగా అనువాదంలో వ్యక్తీకరించబడదు),אִישׁ,एक व्यक्ति या पुरुष व्यक्ति के रूप में एक पुरुष; अक्सर अधिक निश्चित शब्द के सहायक के रूप में उपयोग किया जाता है (और ऐसे मामलों में अक्सर अनुवाद में व्यक्त नहीं किया जाता है)
H0802,אִשָּׁה נָשִׁים,"క్రమరహిత బహువచనం, nashiym; ఒక స్త్రీ (H0582 వలె విస్తృత అర్థంలో ఉపయోగించబడుతుంది)",אִשָּׁה נָשִׁים,"अनियमित बहुवचन, नशीयम; एक महिला (H0582 के समान व्यापक अर्थ में प्रयुक्त)"
H1121,בֵּן,"ఒక కొడుకు (కుటుంబ పేరు యొక్క బిల్డర్‌గా), విశాలమైన అర్థంలో (మనవడు, విషయం, దేశం, నాణ్యత లేదా స్థితి మొదలైన వాటితో సహా సాహిత్య మరియు అలంకారిక సంబంధం, (H0001 H0251, మొదలైనవి వంటివి))",בֵּן,"एक बेटा (परिवार के नाम के निर्माता के रूप में), व्यापक अर्थ में (शाब्दिक और आलंकारिक संबंध में, जिसमें पोता, विषय, राष्ट्र, गुणवत्ता या स्थिति आदि शामिल है, (जैसे H0001 H0251, आदि))"
H1323,בַּת,"ఒక కుమార్తె (సంబంధం యొక్క ఇతర పదాల మాదిరిగానే విస్తృత అర్థంలో ఉపయోగించబడుతుంది, అక్షరాలా మరియు అలంకారికంగా)",בַּת,एक बेटी (शाब्दिक और लाक्षणिक रूप से संबंध के अन्य शब्दों के समान व्यापक अर्थ में प्रयुक्त)
H1697,דָּבָר,ఒక పదం; (సూచన ద్వారా) ఒక విషయం (చెప్పినట్లు) లేదా విషయం,דָּבָר,शब्द; (निहितार्थ से) कोई बात (जैसा कहा गया है) या चीज़
H2233,זֶרַע,"విత్తనం; (అలంకారికంగా) పండు, మొక్క, విత్తే సమయం, సంతానం",זֶרַע,"बीज; (लाक्षणिक रूप से) फल, पौधा, बुआई का समय, भावी पीढ़ी"
H2416,חַי,సజీవంగా; (అందుకే) పచ్చి (మాంసం),חַי,जीवित; (इसलिए) कच्चा (मांस)
H3027,יָד,"ఒక చేతి (ఓపెన్ ఒకటి (శక్తి, సాధనాలు, దిశ, మొదలైనవి సూచిస్తుంది), H3709 నుండి భిన్నంగా, మూసివేయబడినది); అనేక రకాల అప్లికేషన్లలో (నామవాచకం, క్రియా విశేషణం మొదలైనవి) ఉపయోగించబడింది, అక్షరాలా మరియు అలంకారికంగా, సమీప మరియు రిమోట్ (క్రింది విధంగా)",יָד,"एक हाथ (खुला वाला (शक्ति, साधन, दिशा आदि का संकेत देने वाला), H3709 से भिन्न, बंद वाला); विभिन्न प्रकार के अनुप्रयोगों में (संज्ञा, क्रिया विशेषण, आदि के रूप में) उपयोग किया जाता है, शाब्दिक और आलंकारिक रूप से, समीपस्थ और दूरस्थ दोनों (निम्नानुसार)"
H3117,יוֹם,"ఒక రోజు (వెచ్చని గంటలుగా), అక్షరార్థం (సూర్యోదయం నుండి సూర్యాస్తమయం వరకు, లేదా ఒక సూర్యాస్తమయం నుండి తదుపరి వరకు), లేదా అలంకారిక (అనుబంధ పదం ద్వారా నిర్వచించబడిన సమయం), (తరచుగా ఉపయోగించే క్రియా విశేషణం)",יוֹם,"एक दिन (गर्म घंटों के रूप में), चाहे शाब्दिक (सूर्योदय से सूर्यास्त तक, या एक सूर्यास्त से दूसरे तक), या आलंकारिक (संबंधित शब्द द्वारा परिभाषित समय का एक स्थान), (अक्सर क्रिया विशेषण का उपयोग किया जाता है)"
H3820,לֵב,"గుండె; భావాలు, సంకల్పం మరియు తెలివికి కూడా చాలా విస్తృతంగా (అలంకారికంగా) ఉపయోగించబడింది",לֵב,"दिल; भावनाओं, इच्छाशक्ति और यहां तक ​​कि बुद्धि के लिए भी (लाक्षणिक रूप से) बहुत व्यापक रूप से उपयोग किया जाता है"
H4428,מֶלֶך,ఒక రాజు,מֶלֶך,एक राजा
H4725,מָקוֹם מָקוֹם מְקוֹמָה מְקוֹמָה,"(సరిగ్గా) నిలబడి, అనగా ఒక ప్రదేశం; కానీ ఒక ప్రాంతంలో విస్తృతంగా ఉపయోగించబడుతుంది (సాధారణ లేదా నిర్దిష్ట)",מָקוֹם מָקוֹם מְקוֹמָה מְקוֹמָה,"(ठीक से) एक खड़ा, यानी एक स्थान; लेकिन किसी इलाके में व्यापक रूप से उपयोग किया जाता है (सामान्य या विशिष्ट)"
H5869,עַיִן,"ఒక కన్ను (అక్షరాలా లేదా అలంకారికంగా); సారూప్యత ద్వారా, ఒక ఫౌంటెన్ (ల్యాండ్‌స్కేప్ యొక్క కన్ను వలె)",עַיִן,"एक आँख (शाब्दिक या आलंकारिक रूप से); सादृश्य से, एक फव्वारा (परिदृश्य की आंख के रूप में)"
H5971,עַם,"ఒక ప్రజలు (సమావేశ యూనిట్‌గా); ప్రత్యేకంగా, ఒక తెగ (ఇజ్రాయెల్‌గా)",עַם,"एक लोग (एक एकत्रित इकाई के रूप में); विशेष रूप से, एक जनजाति (इज़राइल के लोगों के रूप में)"
H6440,פָּנִים,"ముఖం (తిరుగుతున్న భాగం వలె); (ప్రిపోజిషనల్ ప్రిఫిక్స్‌తో, ప్రిపోజిషన్‌గా) ముందు, మొదలైనవి.",פָּנִים,"चेहरा (उस हिस्से के रूप में जो मुड़ता है); (पूर्वसर्गीय उपसर्ग के साथ, पूर्वसर्ग के रूप में) पहले, आदि।"
H6635,צָּבָא צֶּבָאָה,వ్యక్తుల సమూహం; (అలంకారికంగా) వస్తువుల ద్రవ్యరాశి,צָּבָא צֶּבָאָה,व्यक्तियों का एक समूह; (लाक्षणिक रूप से) चीज़ों का समूह
H7121,קָרָא,"కాల్ చేయడానికి (అంటే సరిగ్గా, పేరు ద్వారా చిరునామా, కానీ అనేక రకాల అప్లికేషన్లలో ఉపయోగించబడుతుంది)",קָרָא,"पुकारना (अर्थात ठीक से, नाम से संबोधित करना, लेकिन विभिन्न प्रकार के अनुप्रयोगों में उपयोग किया जाता है)"
H0410,אֵל,బలం; (విశేషణంగా) శక్తివంతమైన,אֵל,ताकत; (विशेषण के रूप में) शक्तिशाली
H3050,יָהּ,"జా, పవిత్రమైన పేరు",יָהּ,"जह, पवित्र नाम"
H3069,יְהוֹוִה,దేవుడు,יְהוֹוִה,ईश्वर
H6635,צָּבָא צֶּבָאָה,వ్యక్తుల సమూహం; (అలంకారికంగా) వస్తువుల ద్రవ్యరాశి,צָּבָא צֶּבָאָה,व्यक्तियों का एक समूह; (लाक्षणिक रूप से) चीज़ों का समूह
H7706,שַׁדַּי,సర్వశక్తిమంతుడు,שַׁדַּי,सर्वशक्तिमान
H0539,אָמַן,(సరిగ్గా) నిర్మించడానికి లేదా మద్దతు; తల్లిదండ్రులుగా లేదా నర్సుగా ప్రోత్సహించడానికి,אָמַן,(ठीक से) निर्माण या समर्थन करना; माता-पिता या नर्स के रूप में पालन-पोषण करना
H0571,אֶמֶת,"స్థిరత్వం; (అలంకారికంగా) ఖచ్చితత్వం, సత్యం, విశ్వసనీయత",אֶמֶת,"स्थिरता; (लाक्षणिक रूप से) निश्चितता, सच्चाई, विश्वसनीयता"
H1285,בְּרִיתּ,ఒక కాంపాక్ట్ (ఎందుకంటే మాంసం ముక్కల మధ్య వెళ్ళడం ద్వారా తయారు చేయబడింది),בְּרִיתּ,एक सघन (क्योंकि मांस के टुकड़ों के बीच से गुजरने से बना)
H1350,גָּאַל,"రీడీమ్ చేయడానికి (బంధుత్వం యొక్క ఓరియంటల్ చట్టం ప్రకారం); సమీప బంధువుగా ఉండాలి (మరియు బంధువుల ఆస్తిని తిరిగి కొనుగోలు చేయడం, అతని వితంతువును వివాహం చేసుకోవడం మొదలైనవి)",גָּאַל,"छुड़ाना (रिश्तेदारी के ओरिएंटल कानून के अनुसार); निकटतम परिजन बनना (और इस तरह किसी रिश्तेदार की संपत्ति वापस खरीदना, उसकी विधवा से शादी करना, आदि)"
H2403,חַטָּאָה חַטָּאתּ,"ఒక నేరం (కొన్నిసార్లు అలవాటైన పాపం), మరియు దాని శిక్ష, సందర్భం, త్యాగం లేదా ప్రాయశ్చిత్తం; (కాంక్రీట్‌గా) ఒక అపరాధి",חַטָּאָה חַטָּאתּ,"एक अपराध (कभी-कभी आदतन पापपूर्णता), और उसका दंड, अवसर, बलिदान, या प्रायश्चित; (स्पष्ट रूप से) एक अपराधी"
H3722,כָּפַר,"కవర్ చేయడానికి (ప్రత్యేకంగా తారుతో); (అలంకారికంగా) ప్రాయశ్చిత్తం చేయడం లేదా క్షమించడం, శాంతింపజేయడం లేదా రద్దు చేయడం",כָּפַר,"कवर करने के लिए (विशेष रूप से बिटुमेन के साथ); (लाक्षणिक रूप से) प्रायश्चित करना या माफ करना, संतुष्ट करना या रद्द करना"
H4941,מִשׁפָּט,"(సరిగ్గా) న్యాయపరంగా ఉచ్ఛరించే తీర్పు (అనుకూలమైనది లేదా అననుకూలమైనది), ప్రత్యేకించి ఒక వాక్యం లేదా అధికారిక డిక్రీ (మానవ లేదా (పాల్గొనేవారి) దైవిక చట్టం, వ్యక్తి లేదా సామూహిక), చట్టం, స్థలం, దావా, నేరం మరియు పెనాల్టీతో సహా; వియుక్తంగా, న్యాయం, పాల్గొనేవారి హక్కు లేదా ప్రత్యేక హక్కు (చట్టబద్ధమైన లేదా ఆచారం) లేదా ఒక శైలితో సహా",מִשׁפָּט,"(उचित रूप से) न्यायिक रूप से सुनाया गया एक फैसला (अनुकूल या प्रतिकूल), विशेष रूप से एक वाक्य या औपचारिक डिक्री (मानव या (प्रतिभागी का) दैवीय कानून, व्यक्तिगत या सामूहिक), जिसमें कार्य, स्थान, मुकदमा, अपराध और दंड शामिल है; संक्षेप में, न्याय, जिसमें प्रतिभागी का अधिकार या विशेषाधिकार (वैधानिक या प्रथागत), या यहां तक ​​कि एक शैली भी शामिल है"
H5545,סָלַח,క్షమించటానికి,סָלַח,क्षमा करना
H6664,צֶּדֶק,"హక్కు (సహజ, నైతిక లేదా చట్టపరమైన); (వియుక్తంగా) ఈక్విటీ",צֶּדֶק,"अधिकार (प्राकृतिक, नैतिक या कानूनी); (अमूर्त रूप से) इक्विटी"
H6666,צְּדָקָה,"సరైనది (నైరూప్యమైనది), ఆత్మాశ్రయమైనది (నిజాయితీ), నిష్పాక్షికంగా (న్యాయం), నైతికంగా (ధర్మం) లేదా అలంకారికంగా (శ్రేయస్సు)",צְּדָקָה,"सहीपन (अमूर्त रूप से), व्यक्तिपरक रूप से (शुद्धता), निष्पक्ष रूप से (न्याय), नैतिक रूप से (सदाचार) या आलंकारिक रूप से (समृद्धि)"
H8451,תּוֹרָה תּוֹרָה,"ఒక సూత్రం లేదా శాసనం, ముఖ్యంగా డికాలాగ్ లేదా పెంటాట్యూచ్",תּוֹרָה תּוֹרָה,"एक उपदेश या क़ानून, विशेष रूप से डिकालॉग या पेंटाटेच"
H0259,אֶחָד,"(సరిగ్గా) ఐక్యంగా, అంటే ఒకటి; (ఆర్డినల్‌గా) మొదట",אֶחָד,"(ठीक से) संयुक्त, यानी एक; (एक क्रमसूचक के रूप में) पहले"
H8147,שְׁנַיִם שְׁתּתַּיִם,రెండు; (ఆర్డినల్ గా) రెండు రెట్లు,שְׁנַיִם שְׁתּתַּיִם,दो; (क्रमिक के रूप में) दुगना
H7969,שָׁלוֹשׁ שָׁלוֹשׁ שְׁלוֹשָׁה שְׁלוֹשָׁה,"మూడు; అప్పుడప్పుడు (ఆర్డినల్) మూడవ, లేదా (మల్టిపుల్.) మూడుసార్లు",שָׁלוֹשׁ שָׁלוֹשׁ שְׁלוֹשָׁה שְׁלוֹשָׁה,"तीन; कभी-कभी (क्रमिक) तीसरा, या (गुणक) तीन बार"
H0702,אַרבַּע אַרבָּעָה,నాలుగు,אַרבַּע אַרבָּעָה,चार
H2568,חָמֵשׁ חֲמִשָּׁה,ఐదు,חָמֵשׁ חֲמִשָּׁה,पाँच
H8337,שֵׁשׁ שִׁשָּׁה,ఆరు (ఓవర్‌ప్లస్‌గా (H7797 చూడండి) ఐదు దాటి లేదా చేతి వేళ్లు); (ఆర్డినల్‌గా) ఆరవది,שֵׁשׁ שִׁשָּׁה,पांच या हाथ की अंगुलियों से अधिक छह (अधिशेष के रूप में (एच7797 देखें); (क्रमिक के रूप में) छठा
H7651,שֶׁבַע שִׁבעָה,ఒక ఆదిమ కార్డినల్ సంఖ్య; ఏడు (పవిత్రమైన పూర్తి ఒకటిగా),שֶׁבַע שִׁבעָה,एक आदिम कार्डिनल संख्या; सात (पवित्र पूर्ण के रूप में)
H8083,שְׁמוֹנֶה שְׁמוֹנֶה שְׁמוֹנָה שְׁמוֹנָה,"ఒక కార్డినల్ సంఖ్య, ఎనిమిది (""పరిపూర్ణ"" ఏడు కంటే మిగులు ఉన్నట్లు); (ఆర్డినల్‌గా) ఎనిమిదవది",שְׁמוֹנֶה שְׁמוֹנֶה שְׁמוֹנָה שְׁמוֹנָה,"एक कार्डिनल संख्या, आठ (जैसे कि ""संपूर्ण"" सात के ऊपर एक अधिशेष); (क्रमिक के रूप में) आठवां"
H8672,תֵּשַׁע תִּשׁעָה,తొమ్మిది లేదా (ఆర్డి.) తొమ్మిదవ,תֵּשַׁע תִּשׁעָה,नौ या (क्रम) नौवाँ
H6235,עֶשֶׂר עֲשָׂרָה,పది (అంకెల మేరకు చేరడం),עֶשֶׂר עֲשָׂרָה,दस (अंकों की सीमा तक संचय के रूप में)
H0517,אֵם,ఒక తల్లి (కుటుంబం యొక్క బంధంగా); విస్తృత అర్థంలో (వాచ్యంగా మరియు అలంకారికంగా (H0001 లాగా,אֵם,एक माँ (परिवार के बंधन के रूप में); व्यापक अर्थ में (शाब्दिक और आलंकारिक रूप से (जैसे H0001)।
H0251,אָח,ఒక సోదరుడు (అక్షర సంబంధం మరియు రూపక అనుబంధం లేదా సారూప్యత (H0001 వంటివి) యొక్క విస్తృత అర్థంలో ఉపయోగించబడుతుంది),אָח,एक भाई (शाब्दिक संबंध और रूपक आत्मीयता या समानता के व्यापक अर्थ में प्रयुक्त (जैसे H0001))
H0269,אָחוֹת,"ఒక సోదరి (చాలా విస్తృతంగా ఉపయోగించబడుతుంది (H0250 వంటివి), అక్షరాలా మరియు అలంకారికంగా)",אָחוֹת,"एक बहन (बहुत व्यापक रूप से प्रयुक्त (जैसे H0250), शाब्दिक और लाक्षणिक रूप से)"
H1121,בֵּן,"ఒక కొడుకు (కుటుంబ పేరు యొక్క బిల్డర్‌గా), విశాలమైన అర్థంలో (మనవడు, విషయం, దేశం, నాణ్యత లేదా స్థితి మొదలైన వాటితో సహా సాహిత్య మరియు అలంకారిక సంబంధం, (H0001 H0251, మొదలైనవి వంటివి))",בֵּן,"एक बेटा (परिवार के नाम के निर्माता के रूप में), व्यापक अर्थ में (शाब्दिक और आलंकारिक संबंध में, जिसमें पोता, विषय, राष्ट्र, गुणवत्ता या स्थिति आदि शामिल है, (जैसे H0001 H0251, आदि))"
H1323,בַּת,"ఒక కుమార్తె (సంబంధం యొక్క ఇతర పదాల మాదిరిగానే విస్తృత అర్థంలో ఉపయోగించబడుతుంది, అక్షరాలా మరియు అలంకారికంగా)",בַּת,एक बेटी (शाब्दिक और लाक्षणिक रूप से संबंध के अन्य शब्दों के समान व्यापक अर्थ में प्रयुक्त)
H0376,אִישׁ,ఒక వ్యక్తి లేదా మగ వ్యక్తిగా ఒక వ్యక్తి; తరచుగా మరింత ఖచ్చితమైన పదానికి అనుబంధంగా ఉపయోగించబడుతుంది (మరియు అలాంటి సందర్భాలలో తరచుగా అనువాదంలో వ్యక్తీకరించబడదు),אִישׁ,एक व्यक्ति या पुरुष व्यक्ति के रूप में एक पुरुष; अक्सर अधिक निश्चित शब्द के सहायक के रूप में उपयोग किया जाता है (और ऐसे मामलों में अक्सर अनुवाद में व्यक्त नहीं किया जाता है)
H0802,אִשָּׁה נָשִׁים,"క్రమరహిత బహువచనం, nashiym; ఒక స్త్రీ (H0582 వలె విస్తృత అర్థంలో ఉపయోగించబడుతుంది)",אִשָּׁה נָשִׁים,"अनियमित बहुवचन, नशीयम; एक महिला (H0582 के समान व्यापक अर्थ में प्रयुक्त)"
H3027,יָד,"ఒక చేతి (ఓపెన్ ఒకటి (శక్తి, సాధనాలు, దిశ, మొదలైనవి సూచిస్తుంది), H3709 నుండి భిన్నంగా, మూసివేయబడినది); అనేక రకాల అప్లికేషన్లలో (నామవాచకం, క్రియా విశేషణం మొదలైనవి) ఉపయోగించబడింది, అక్షరాలా మరియు అలంకారికంగా, సమీప మరియు రిమోట్ (క్రింది విధంగా)",יָד,"एक हाथ (खुला वाला (शक्ति, साधन, दिशा आदि का संकेत देने वाला), H3709 से भिन्न, बंद वाला); विभिन्न प्रकार के अनुप्रयोगों में (संज्ञा, क्रिया विशेषण, आदि के रूप में) उपयोग किया जाता है, शाब्दिक और आलंकारिक रूप से, समीपस्थ और दूरस्थ दोनों (निम्नानुसार)"
H5869,עַיִן,"ఒక కన్ను (అక్షరాలా లేదా అలంకారికంగా); సారూప్యత ద్వారా, ఒక ఫౌంటెన్ (ల్యాండ్‌స్కేప్ యొక్క కన్ను వలె)",עַיִן,"एक आँख (शाब्दिक या आलंकारिक रूप से); सादृश्य से, एक फव्वारा (परिदृश्य की आंख के रूप में)"
H7218,רוֹאשׁ,"తల (అత్యంత తేలికగా కదిలినట్లు), అక్షరార్థం లేదా అలంకారికమైనది (అనేక అనువర్తనాల్లో, స్థలం, సమయం, ర్యాంక్, మొదలైనవి)",רוֹאשׁ,"सिर (जैसा कि सबसे आसानी से हिलाया जाता है), चाहे वह शाब्दिक हो या आलंकारिक (कई अनुप्रयोगों में, स्थान, समय, पद, इत्यादि)"
H3820,לֵב,"గుండె; భావాలు, సంకల్పం మరియు తెలివికి కూడా చాలా విస్తృతంగా (అలంకారికంగా) ఉపయోగించబడింది",לֵב,"दिल; भावनाओं, इच्छाशक्ति और यहां तक ​​कि बुद्धि के लिए भी (लाक्षणिक रूप से) बहुत व्यापक रूप से उपयोग किया जाता है"
H6310,פֶּה,"నోరు (బ్లోయింగ్ సాధనంగా), సాహిత్యపరమైన లేదా అలంకారిక (ముఖ్యంగా ప్రసంగం); ప్రత్యేకంగా అంచు, భాగం లేదా వైపు",פֶּה,"मुँह (फूँकने के साधन के रूप में), चाहे शाब्दिक हो या आलंकारिक (विशेषकर भाषण); विशेष रूप से किनारा, भाग या किनारा"
H0241,אוֹזֶן,విశాలత; (కాంక్రీట్) చెవి (మనిషిలో దాని రూపం నుండి),אוֹזֶן,व्यापकता; (ठोस रूप से) कान (मनुष्य में इसके स्वरूप से)
H0639,אַף,(సరిగ్గా) ముక్కు లేదా నాసికా రంధ్రం; (అందుకే) ముఖం మరియు అప్పుడప్పుడు ఒక వ్యక్తి,אַף,"(ठीक से) नाक या नासिका; (इसलिए) चेहरा, और कभी-कभी एक व्यक्ति"
H7272,רֶגֶל,ఒక అడుగు (నడకలో ఉపయోగించినట్లు); (సూచన ద్వారా) ఒక అడుగు,רֶגֶל,एक पैर (जैसा कि चलने में उपयोग किया जाता है); (निहितार्थ से) एक कदम
H3220,יָם,"సముద్రం (ధ్వనించే సర్ఫ్‌లో బద్దలు కొట్టినట్లు) లేదా పెద్ద నీటి భాగం; ప్రత్యేకంగా (వ్యాసంతో), మధ్యధరా సముద్రం",יָם,"एक समुद्र (जैसे कि शोरगुल वाली लहर में टूटना) या पानी का बड़ा भंडार; विशेष रूप से (लेख के साथ), भूमध्य सागर"
H2022,הַר,పర్వతం లేదా కొండల శ్రేణి (కొన్నిసార్లు అలంకారికంగా ఉపయోగిస్తారు),הַר,एक पर्वत या पहाड़ियों की श्रृंखला (कभी-कभी लाक्षणिक रूप से प्रयुक्त)
H5104,נָהָר,"ఒక ప్రవాహం (సముద్రంతో సహా; అంచనా. నైలు, యూఫ్రేట్స్, మొదలైనవి)",נָהָר,"एक धारा (समुद्र सहित, नील नदी, फ़रात आदि)"
H6086,עֵץ,ఒక చెట్టు (దాని దృఢత్వం నుండి); (అందుకే) చెక్క (బహువచన కర్రలు),עֵץ,एक पेड़ (इसकी दृढ़ता से); (इसलिए) लकड़ी (बहुवचन छड़ें)
H0784,אֵשׁ,అగ్ని (అక్షరాలా లేదా అలంకారికంగా),אֵשׁ,आग (शाब्दिक या लाक्षणिक रूप से)
H3117,יוֹם,"ఒక రోజు (వెచ్చని గంటలుగా), అక్షరార్థం (సూర్యోదయం నుండి సూర్యాస్తమయం వరకు, లేదా ఒక సూర్యాస్తమయం నుండి తదుపరి వరకు), లేదా అలంకారిక (అనుబంధ పదం ద్వారా నిర్వచించబడిన సమయం), (తరచుగా ఉపయోగించే క్రియా విశేషణం)",יוֹם,"एक दिन (गर्म घंटों के रूप में), चाहे शाब्दिक (सूर्योदय से सूर्यास्त तक, या एक सूर्यास्त से दूसरे तक), या आलंकारिक (संबंधित शब्द द्वारा परिभाषित समय का एक स्थान), (अक्सर क्रिया विशेषण का उपयोग किया जाता है)"
H3915,לַיִל לֵיל לַיְלָה,"(సరిగ్గా) ఒక ట్విస్ట్ (కాంతి దూరంగా), అనగా రాత్రి; (అలంకారికంగా) ప్రతికూలత",לַיִל לֵיל לַיְלָה,"(ठीक से) एक मोड़ (प्रकाश से दूर), यानी रात; (लाक्षणिक रूप से) प्रतिकूलता"
H1242,בּוֹקֶר,(సరిగ్గా) డాన్ (రోజు విరామంగా); (సాధారణంగా) ఉదయం,בּוֹקֶר,(ठीक से) भोर (दिन के उजाले के रूप में); (आम तौर पर) सुबह
H6153,עֶרֶב,సంధ్య,עֶרֶב,गोधूलि बेला
H8141,שָׁנֶה שָׁנָה,ఒక సంవత్సరం (సమయం యొక్క విప్లవం వలె),שָׁנֶה שָׁנָה,एक वर्ष (समय की क्रांति के रूप में)
H2320,חוֹדֶשׁ,అమావాస్య; (సూచన ద్వారా) ఒక నెల,חוֹדֶשׁ,अमावस्या; (निहितार्थ से) एक महीना
H7651,שֶׁבַע שִׁבעָה,ఒక ఆదిమ కార్డినల్ సంఖ్య; ఏడు (పవిత్రమైన పూర్తి ఒకటిగా),שֶׁבַע שִׁבעָה,एक आदिम कार्डिनल संख्या; सात (पवित्र पूर्ण के रूप में)
