Original Word,Transliteration,Root,Telugu Meaning,English Meaning,Part of Speech,Strong's
"שְׁפָטִים","shephtim","שָׁפַט","తీర్పులు","judgments / punishments","Noun","H8201"
"מוֹרָשָׁה","morashah","יָרַשׁ","స్వాస్థ్యము","heritage / possession","Noun","H4181"
"עָרֵל","arel","עָרַל","సున్నతి లేని","uncircumcised","Adjective","H6189"
"סִבְלוֹת","siblot","סָבַל","బరువులు / వెట్టిపనులు","burdens / hard labor","Noun","H5450"
"עֲבוֹדָה","avodah","עָבַד","దాస్యము / సేవ","bondage / service","Noun","H5656"
"נָצַל","natsal","נָצַל","విడిపించుట","to deliver / rescue","Verb","H5337"
"אֶרֶץ","eretz","אֶרֶץ","దేశము / భూమి","land / earth","Noun","H776"
"דָּבַר","dabar","דָּבַר","మాట్లాడుట","to speak","Verb","H1696"
"שָׁמַע","shama","שָׁמַע","వినుట","to hear / listen","Verb","H8085"
"נָתַן","nathan","נָתַן","ఇచ్చుట లేదా నియమించుట","to give, set, or appoint","Verb","H5414"
"נָבִיא","navi","נָבִיא","ప్రవక్త","prophet","Noun","H5030"
"דִּבֶּר","dibber","דָּבַר","మాట్లాడుట","to speak","Verb","H1696"
"שָׁלַח","shalach","שָׁלַח","పంపుట","to send","Verb","H7971"
"קָשָׁה","qashah","קָשָׁה","కఠినపరచుట","to harden or make difficult","Verb","H7185"
"אוֹת","ot","אוֹת","సూచన","sign","Noun","H226"
"מוֹפֵת","mopheth","יָפַת","అద్భుతం","wonder or miracle","Noun","H4159"
"יָד","yad","יָד","చేయి","hand or power","Noun","H3027"
"שֶׁפֶט","shephet","שָׁפַט","తీర్పు","judgment","Noun","H8201"
"יָדַע","yada","יָדַע","తెలుసుకొనుట","to know","Verb","H3045"
"מַטֶּה","matteh","נָטָה","కర్ర లేదా దండము","staff or rod","Noun","H4294"
"תַּנִּין","tannin","תַּנִּין","పెద్ద పాము లేదా సర్పము","serpent, dragon, or sea monster","Noun","H8577"
"בָּלַע","bala","בָּלַע","మింగివేయుట","to swallow up","Verb","H1104"
"חָכָם","chakham","חָכַם","జ్ఞాని","wise man","Adjective/Noun","H2450"
"כָּבֵד","kaved","כָּבֵד","భారమైన లేదా కఠినమైన","heavy, hard, or dull","Adjective/Verb","H3513"
"לֵב","lev","לֵבָב","హృదయము","heart or mind","Noun","H3820"
"יְאֹר","ye'or","יְאֹר","నది (ముఖ్యంగా నైలు)","river (specifically the Nile)","Noun","H2975"
"דָּם","dam","דָּם","రక్తము","blood","Noun","H1818"
"דָּג","dag","דָּגָה","చేప","fish","Noun","H1709"
"בָּאַשׁ","ba'ash","בָּאַשׁ","కంపు కొట్టుట లేదా కుళ్లుట","to stink or become foul","Verb","H887"
"צְפַרְדֵּעַ","tsephardea","צְפַרְדֵּעַ","కప్ప","Frog","Noun","H6848"
"יְאֹר","ye'or","יְאֹר","నది (నైలు నది)","River (specifically the Nile)","Noun","H2975"
"נָטָה","natah","נָטָה","చాచుట","To stretch out / extend","Verb","H5186"
"כִּנִּים","kinnim","כֵּן","పేలు / దోమలు","Gnats / Lice","Noun","H3654"
"עָפָר","aphar","עָפָר","ధూళి","Dust","Noun","H6083"
"אֶצְבַּע","etzba","אֶצְבַּע","వ్రేలు","Finger","Noun","H676"
"כָּבֵד","kaved","כָּבֵד","కఠినము చేయుట / భారముగా నుండుట","To be heavy / hardened","Verb","H3513"
"עָרֹב","arov","עָרֹב","ఈగల గుంపు","Swarm (of flies)","Noun","H6157"
"זָבַח","zavach","זָבַח","బలి అర్పించుట","To sacrifice","Verb","H2076"
"תּוֹעֵבָה","to'evah","תָּעַב","హేయకృత్యము","Abomination / Detestable thing","Noun","H8441"
"רֶוַח","revach","רָוַח","ఉపశమనము / విరామము","Respite / Relief","Noun","H7309"
"פָּלָה","palah","פָּלָה","వేరుపరచుట","To set apart / distinguish","Verb","H6395"
"גְּבוּל","gevul","גָּבַל","మేర / పొలిమేర","Border / Boundary","Noun","H1366"
"מִשְׁכָּן","mishkan","שָׁכַן","నివాసము","Dwelling place","Noun","H4908"
"בּוֹא","bo","בּוֹא","వచ్చుట/వెళ్ళుట","to come, go, enter","Verb","H935"
"שַׁלַּח","shallach","שָׁלַח","పంపించు","to send, let go, dismiss","Verb","H7971"
"עָבַד","avad","עָבַד","సేవించు","to serve, labor, work","Verb","H5647"
"מָאֵן","ma'en","מָאֵן","నిరాకరించు","to refuse","Verb","H3985"
"מִקְנֶה","miqneh","קָנָה","పశుసంపద","livestock, cattle, possession","Noun","H4735"
"דֶּבֶר","dever","דָּבַר","భయంకరమైన తెగులు","pestilence, plague","Noun","H1698"
"הִפְלָה","hiflah","פָּלָה","వ్యత్యాసము చూపుట","to distinguish, set apart, make a distinction","Verb","H6395"
"פִּיחַ","piach","פּוּחַ","బూడిద/మసి","soot, ashes","Noun","H6368"
"כִּבְשָׁן","kivshan","כָּבַשׁ","కొలిమి","furnace, kiln","Noun","H3536"
"שְׁחִין","shechin","שָׁחַן","కురుపులు","boils, inflammation","Noun","H7822"
"אֲבַעְבֻּעֹת","aba'buot","בָּעָה","గుల్లలు/పొక్కులు","blisters, boils","Noun","H76"
"חַרְטֻמִּים","chartummim","חֶרֶט","శకునగాండ్రు/మాంత్రికులు","magicians, diviners","Noun","H2748"
"בָּרָד","barad","בָּרַד","వడగండ్లు","hail","Noun","H1259"
"קוֹל","qol","קוֹל","శబ్దము/ఉరుము","voice, sound, thunder","Noun","H6963"
"אֵשׁ","esh","אֵשׁ","అగ్ని","fire","Noun","H784"
"פִּשְׁתָּה","pishtah","פֵּשֶׁת","అవిసెలు","flax","Noun","H6594"
"שְׂעֹרָה","seorah","שָׂעַר","యవలు","barley","Noun","H8184"
"חִטָּה","chittah","חִטָּה","గోధుమలు","wheat","Noun","H2406"
"צַדִּיק","tsaddiq","צָדַק","నీతిమంతుడు","righteous, just","Adjective","H6662"
"כָּבֵד","kaved","כָּבֵד","కఠినమైన/బరువైన","heavy, hardened","Verb","H3513"
"אַרְבֶּה","arbeh","רָבָה","మిడతలు","locust","Noun","H697"
"עָבַד","avad","עָבַד","సేవించుట","to serve/worship","Verb","H5647"
"אֹתֹת","otot","אוֹת","సూచక క్రియలు","signs","Noun","H226"
"מָאֵן","ma'en","מָאֵן","నిరాకరించుట","to refuse","Verb","H3985"
"עָנָה","anah","עָנָה","తగ్గించుకొనుట/వినయము","to humble oneself","Verb","H6031"
"אָכַל","akhal","אָכַל","తినుట/భక్షించుట","to eat/devour","Verb","H398"
"רוּחַ","ruach","רוּחַ","గాలి/వాయువు","wind","Noun","H7307"
"חֹשֶׁךְ","choshek","חָשַׁךְ","చీకటి","darkness","Noun","H2822"
"נָטָה","natah","נָטָה","చాపుట","to stretch out/incline","Verb","H5186"
"אֶרֶץ","eretz","אֶרֶץ","దేశము/భూమి","land/earth","Noun","H776"
"מִקְנֶה","miqneh","קָנָה","పశువులు/మందలు","livestock/cattle","Noun","H4735"
"זֶבַח","zevac","זָבַח","బలి","sacrifice","Noun","H2077"
"אוֹר","or","אוֹר","వెలుగు","light","Noun","H216"
"פָּנִים","panim","פָּנָה","ముఖము/సన్నిధి","face/presence","Noun","H6440"
"נֶגַע","nega‘","נָגַע","తెగులు","plague, stroke, blow","Noun","H5061"
"כָּלָה","kālāh","כָּלָה","పూర్తిగా / నిశ్శేషముగా","altogether, completely, consumption","Adverb/Noun","H3617"
"גָּרַשׁ","gāraš","גָּרַשׁ","వెళ్లగొట్టుట / వెలివేయుట","to drive out, cast out, expel","Verb","H1644"
"שָׁאַל","šā'al","שָׁאַל","అడుగుట / యాచించుట","to ask, request, borrow","Verb","H7592"
"כֶּסֶף","kesep̄","כָּסַף","వెండి","silver, money","Noun","H3701"
"זָהָב","zāhāḇ","זָהַב","బంగారం","gold","Noun","H2091"
"חֵן","ḥēn","חָנַן","దయ / కటాక్షం","favor, grace, charm","Noun","H2580"
"גָּדוֹל","gādôl","גָּדַל","గొప్ప / విశాలమైన","great, large, loud","Adjective","H1419"
"חֲצוֹת","ḥăṣôṯ","חָצָה","అర్ధరాత్రి","middle, midnight","Noun","H2676"
"בְּכוֹר","bəḵôr","בָּכַר","తొలిచూలు / జ్యేష్ఠుడు","firstborn","Noun","H1060"
"כִּסֵּא","kissē'","כִּסֵּא","సింహాసనము","throne, seat of honor","Noun","H3678"
"שִׁפְחָה","šip̄ḥāh","שִׁפְחָה","పనిపిల్ల / దాసి","maidservant, female slave","Noun","H8198"
"צְעָקָה","ṣə‘āqāh","צָעַק","మొర / ఆక్రందన","cry, outcry","Noun","H6818"
"פָּלָה","pālāh","פָּלָה","వేరుపరచుట / విభేదించుట","to distinguish, set apart, make a distinction","Verb","H6395"
"הִשְׁתַּחֲוָה","hištǎḥăwāh","שָׁחָה","నమస్కరించుట / సాష్టాంగపడుట","to bow down, worship, prostrate oneself","Verb","H7812"
"חֳרִי-אַף","ḥŏrî-'ap̄","חָרָה / אַף","మహాకోపం / తీక్షణమైన కోపం","fierce anger, burning wrath","Noun Phrase","H2740 / H639"
"מוֹפֵת","môp̄ēṯ","יָפָה","అద్భుతం / సూచక క్రియ","wonder, miracle, sign","Noun","H4159"
"חָזַק","ḥāzaq","חָזַק","కఠినపరచుట / బలపరచుట","to harden, strengthen, prevail","Verb","H2388"
"מִצְרַיִם","Mitzrayim","מִצְרַיִם","ఐగుప్తు","Egypt","Proper Noun","H4714"
"חֹדֶשׁ","Chodesh","חדשׁ","నెల","month / new moon","Noun","H2320"
"שֶׂה","Seh","שׂה","గొర్రెపిల్ల / మేకపిల్ల","lamb / sheep","Noun","H7716"
"תָּמִים","Tamim","תמם","నిర్దోషమైన","complete / without blemish","Adjective","H8549"
"דָּם","Dam","דָּם","రక్తము","blood","Noun","H1818"
"פֶּסַח","Pesach","פסח","పస్కా","Passover","Noun","H6453"
"מַצָּה","Matzah","מצץ","పొంగని రొట్టె","unleavened bread","Noun","H4682"
"אֵשׁ","Esh","אשׁ","అగ్ని","fire","Noun","H784"
"מְרֹרִים","Merorim","מרר","చేదు కూరలు","bitter herbs","Noun","H4844"
"שָׁחַט","Shachat","שׁחט","వధించు","to slaughter / kill","Verb","H7819"
"חָמֵץ","Chametz","חמץ","పులిసినది / పులిపిండి","leavened bread / leaven","Noun","H2557"
"מְזוּזָה","Mezuzah","זוז","ద్వారబంధపు నిలువు కమ్మి","doorpost","Noun","H4201"
"מַשְׁקוֹף","Mashqoph","שׁקף","ద్వారబంధపు పైకమ్మి","lintel","Noun","H4947"
"נָגַף","Nagaph","נגף","హతము చేయు / మొత్తు","to strike / smite","Verb","H5062"
"אֲגֻדָּה","Aguddah","אגד","కట్ట / గుంపు","band / bunch","Noun","H92"
"אֵזוֹב","Ezov","אזוב","హిస్సోపు","hyssop","Noun","H231"
"עֵדָה","Edah","יעד","సమాజము","congregation","Noun","H5712"
"בָּשָׂר","Basar","בשׂר","మాంసము","flesh / meat","Noun","H1320"
"חָג","Chag","חגג","పండుగ","festival / feast","Noun","H2282"
"רֹאשׁ","Rosh","ראשׁ","మొదలు / తల","head / beginning","Noun","H7218"
"קַדֶּשׁ","qaddesh","קדשׁ","ప్రతిష్ఠించు","Consecrate/Sanctify","Verb","H6942"
"בְּכוֹר","bekhor","בכר","తొలిచూలు","Firstborn","Noun","H1060"
"זָכוֹר","zakhor","זכר","జ్ఞాపకముంచుకొను","Remember","Verb","H2142"
"עֲבָדִים","avadim","עבד","దాసులు","Slaves/Servants","Noun","H5650"
"חֹזֶק","chozeq","חזק","బలము","Strength/Force","Noun","H2392"
"אָבִיב","aviv","אבב","అబీబు","Abib (Spring month)","Noun","H24"
"חָלָב","chalav","חלב","పాలు","Milk","Noun","H2461"
"דְּבָשׁ","devash","דבש","తేనె","Honey","Noun","H1706"
"מַצּוֹת","matzot","מצה","పొంగని రొట్టెలు","Unleavened bread","Noun","H4682"
"אוֹת","ot","אות","సూచన","Sign/Token","Noun","H226"
"זִכָּרוֹן","zikaron","זכר","జ్ఞాపకార్థము","Memorial","Noun","H2146"
"תּוֹרָה","Torah","ירה","ధర్మశాస్త్రము","Law/Instruction","Noun","H8451"
"פָדָה","padah","פדה","విమోచించు","Redeem","Verb","H6301"
"דֶּרֶךְ","derekh","דרך","మార్గము","Way/Path","Noun","H1870"
"עַמּוּד","ammud","עמד","స్తంభము","Pillar","Noun","H5982"
"עָנָן","anan","ענן","మేఘము","Cloud","Noun","H6051"
"אֵשׁ","esh","אשׁ","అగ్ని","Fire","Noun","H784"
"דָּבַר","dabar","דָּבַר","మాట్లాడుట","to speak","Verb","H1696"
"יָם","yam","יָם","సముద్రము","sea","Noun","H3220"
"רָדַף","radaph","רָדַף","తరిమి వెళ్ళుట","to pursue, follow after","Verb","H7291"
"כָּבוֹד","kabod","כָּבַד","మహిమ","glory, honor","Noun","H3519"
"רֶכֶב","rekeb","רָכַב","రథము","chariot","Noun","H7393"
"יָרֵא","yare","יָרֵא","భయపడుట","to fear","Verb","H3372"
"יְשׁוּעָה","yeshuah","יָשַׁע","రక్షణ","salvation","Noun","H3444"
"מַטֶּה","matteh","נָטָה","కర్ర, దండము","staff, rod","Noun","H4294"
"בָּקַע","baqa","בָּקַע","చీల్చుట, విభజించుట","to divide, split","Verb","H1234"
"יַבָּשָׁה","yabbashah","יָבֵשׁ","ఆరిన నేల","dry land","Noun","H3004"
"לָחַם","lacham","לָחַם","యుద్ధము చేయుట","to fight","Verb","H3898"
"חָרַשׁ","charash","חָרַשׁ","మౌనముగా ఉండుట","to be silent","Verb","H2790"
"נָטָה","natah","נָטָה","చాచుట","to stretch out","Verb","H5186"
"מַלְאָךְ","malakh","לָאַךְ","దూత","angel, messenger","Noun","H4397"
"עָנָן","anan","עָנָן","మేఘము","cloud","Noun","H6051"
"רוּחַ","ruach","רוּחַ","గాలి, ఆత్మ","wind, spirit","Noun","H7307"
"חֹמָה","chomah","חָמָה","గోడ, ప్రాకారము","wall","Noun","H2346"
"אוֹפָן","ophan","אופן","చక్రము","wheel","Noun","H212"
"אָמַן","aman","אָמַן","నమ్ముట, విశ్వాసముంచుట","to believe, trust","Verb","H539"
"שִׁיר","shir","שׁוּר","పాడుట","to sing","Verb","H7891"
"גָּאָה","ga'ah","גָּאָה","అతిశయించుట","to be exalted","Verb","H1342"
"סוּס","sus","סוּס","గుర్రం","horse","Noun","H5483"
"יָם","yam","יָם","సముద్రము","sea","Noun","H3220"
"עָז","oz","עָזַז","బలము","strength","Noun","H5797"
"יְשׁוּעָה","yeshuah","יָשַׁע","రక్షణ","salvation","Noun","H3444"
"אִישׁ","ish","אִישׁ","మనుష్యుడు","man","Noun","H376"
"מִלְחָמָה","milchamah","לָחַם","యుద్ధము","war","Noun","H4421"
"תְּהֹם","tehom","הוּם","అగాధ జలములు","deep/abyss","Noun","H8415"
"יָמִין","yamin","יָמִין","కుడిచేయి","right hand","Noun","H3225"
"קֹדֶשׁ","qodesh","קָדַשׁ","పరిశుద్ధత","holiness","Noun","H6944"
"פֶּלֶא","pele","פָּלָא","అద్భుతము","wonder/miracle","Noun","H6382"
"עֵדָה","‘edah","יָעַד","సమాజము","congregation, assembly","Noun","H5712"
"מִדְבָּר","midbar","דָּבַר","అరణ్యము","wilderness, desert","Noun","H4057"
"לוּן","lun","לוּן","సణుగుకొను","to murmur, grumble","Verb","H3885"
"לֶחֶם","lechem","לָחַם","ఆహారము, రొట్టె","bread, food","Noun","H3899"
"שָׁמַיִם","shamayim","שָׁמַיִם","ఆకాశము","heavens, sky","Noun","H8064"
"מָן","man","מָן","మన్నా","manna","Noun","H4478"
"שְׂלָו","selav","שָׂלָה","పూరేడు పిట్టలు","quail","Noun","H7958"
"שַׁבָּת","shabbat","שָׁבַת","విశ్రాంతిదినము","Sabbath, rest","Noun","H7676"
"עֹמֶר","‘omer","עָמַר","ఓమెరు (ఒక కొలత)","omer (a dry measure)","Noun","H6016"
"שָׂבַע","saba‘","שָׂבַע","తృప్తిపడు","to be satisfied, be full","Verb","H7646"
"קֹדֶשׁ","qodesh","קָדַשׁ","పరిశుద్ధత","holiness, sacredness","Noun","H6944"
"בֹּקֶר","boqer","בָּקַר","ఉదయము","morning","Noun","H1242"
"עֵדָה","edah","יָעַד","సమాజము","congregation/community","Noun","H5712"
"מַסַּע","massa","נָסַע","ప్రయాణము","journey/stage","Noun","H4550"
"רִיב","riv","רִיב","కలహించు/వాదించు","to strive/quarrel","Verb","H7378"
"נָסָה","nasah","נָסָה","పరీక్షించు/శోధించు","to test/try/prove","Verb","H5254"
"צָמָא","tsama","צָמָא","దప్పి/దాహము","thirst","Noun","H6772"
"מַטֶּה","matteh","נָטָה","కర్ర/దండము","staff/rod","Noun","H4294"
"הָכָה","nakah","נָכָה","కొట్టుట","to strike/smite","Verb","H5221"
"צוּר","tsur","צוּר","బండ","rock","Noun","H6697"
"לָחַם","lakham","לָחַם","యుద్ధము చేయు","to fight/battle","Verb","H3898"
"גִּבְעָה","givah","גָּבַע","కొండ/గుట్ట","hill","Noun","H1389"
"גָּבַר","gavar","גָּבַר","బలపడు/జయించు","to prevail/be strong","Verb","H1396"
"אֱמוּנָה","emunah","אָמַן","స్థిరత్వము/నమ్మకము","steadiness/faithfulness","Noun","H530"
"כָּתַב","katav","כָּתַב","వ్రాయుట","to write","Verb","H3789"
"זִכָּרוֹן","zikaron","זָכַר","జ్ఞాపకార్థము","memorial/remembrance","Noun","H2146"
"מִזְבֵּחַ","mizbeakh","זָבַח","బలిపీఠము","altar","Noun","H4196"
"נֵס","nes","נָסַס","ధ్వజము/గుర్తు","banner/standard/signal","Noun","H5251"
"יִתְרוֹ","yitro","יתר","యిత్రో","Jethro","Proper Noun","H3503"
"כֹּהֵן","kohen","כהן","యాజకుడు","priest","Noun","H3548"
"חֹתֵן","choten","חתן","మామ","father-in-law","Noun","H2859"
"שָׁמַע","shama","שׁמע","వినుట","to hear","Verb","H8085"
