dayOfYear,questionId,question,option1,option2,option3,option4,correctAnswer,reference
4,63,Why did God reject Saul?,He was too old,He disobeyed God,He was sick,He died,1,1 Samuel 15
4,64,Who was anointed to replace Saul?,Jonathan,David,Solomon,Absalom,1,1 Samuel 16
4,65,What instrument did David play?,Lyre/harp,Trumpet,Drum,Flute,0,1 Samuel 16:23
4,66,How tall was Goliath?,6 cubits,9 feet,Over 9 feet,12 feet,2,1 Samuel 17:4
4,67,What weapon did David use against Goliath?,Sword,Spear,Sling and stone,Bow,2,1 Samuel 17:50
4,68,Who was David's best friend?,Samuel,Jonathan,Solomon,Nathan,1,1 Samuel 18:1
4,69,How many Psalms did David write?,All 150,About half,73,50,2,Psalm attributions
4,70,Who was Bathsheba?,David's mother,David's first wife,Wife of Uriah,David's daughter,2,2 Samuel 11
4,71,What did David do wrong with Bathsheba?,Stole from her,Committed adultery,Hurt her,Nothing,1,2 Samuel 11
4,72,Who confronted David about his sin?,Joab,Nathan,Samuel,God directly,1,2 Samuel 12
4,73,Who built the Temple in Jerusalem?,David,Solomon,Ezra,Nehemiah,1,1 Kings 6
4,74,What did Solomon ask God for?,Riches,Long life,Wisdom,Power,2,1 Kings 3:9
4,75,How many wives did Solomon have?,100,300,700,1000,2,1 Kings 11:3
4,76,What divided after Solomon?,Kingdom,Temple,Family,Land,0,1 Kings 12
4,77,What were the two kingdoms called?,Judah and Samaria,Israel and Judah,North and South,Upper and Lower,1,1 Kings 12
4,78,Who was taken up in a chariot of fire?,Moses,Elijah,Elisha,Enoch,1,2 Kings 2:11
4,79,Who succeeded Elijah?,Elisha,Jeremiah,Isaiah,Amos,0,2 Kings 2
4,80,What did Elisha ask from Elijah?,Wealth,Double portion of spirit,Kingdom,Peace,1,2 Kings 2:9
5,81,Who was thrown into the lion's den?,Joseph,Daniel,Jonah,Shadrach,1,Daniel 6
5,82,Why was Daniel in Babylon?,He traveled,He was exiled,He was born there,He worked there,1,Daniel 1
5,83,What did Daniel refuse to eat?,Meat,King's food,Fruit,Bread,1,Daniel 1:8
5,84,How many friends did Daniel have in Babylon?,2,3,4,12,1,Daniel 1
5,85,What were Daniel's friends thrown into?,Lions den,Fire,Prison,Pit,1,Daniel 3
5,86,Who interpreted the writing on the wall?,Joseph,Daniel,Ezekiel,Jeremiah,1,Daniel 5
5,87,Who swallowed Jonah?,Whale,Great fish,Dragon,Leviathan,1,Jonah 1:17
5,88,Why did Jonah run from God?,He was afraid,He hated Nineveh,He didn't want to preach,All of the above,3,Jonah 1
5,89,How long was Jonah in the fish?,1 day,2 days,3 days,7 days,2,Jonah 1:17
5,90,Did Nineveh repent?,Yes,No,Partially,Eventually,0,Jonah 3
5,91,Who was queen that saved the Jews?,Ruth,Esther,Sarah,Deborah,1,Esther 4
5,92,Who wanted to destroy all Jews?,Pharaoh,Haman,Nebuchadnezzar,Herod,1,Esther 3
5,93,What feast celebrates Esther's story?,Passover,Purim,Sukkot,Hanukkah,1,Esther 9
5,94,Who rebuilt the walls of Jerusalem?,Ezra,Nehemiah,Zerubbabel,Joshua,1,Nehemiah 2
5,95,Who led the first return from exile?,Zerubbabel,Nehemiah,Ezra,Daniel,0,Ezra 1
5,96,What prophet saw the valley of dry bones?,Isaiah,Jeremiah,Ezekiel,Daniel,2,Ezekiel 37
5,97,Who prophesied about the suffering servant?,Isaiah,Jeremiah,Ezekiel,Micah,0,Isaiah 53
5,98,Where was Jesus prophesied to be born?,Jerusalem,Nazareth,Bethlehem,Egypt,2,Micah 5:2
5,99,What was John the Baptist's message?,Peace,Repent,Love,Hope,1,Matthew 3:2
5,100,How was Jesus related to John the Baptist?,Brothers,Cousins,Friends,Not related,1,Luke 1:36
